Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AAMI,Acadian Asset Management Inc,Financial,Asset Management,USA,2580000000.0,30.78,72.38,0.0546,517016.0
ABSI,Absci Corp,Healthcare,Biotechnology,USA,901130000.0,,5.78,-0.0203,6349971.0
ACMR,ACM Research Inc,Technology,Semiconductor Equipment & Materials,USA,4250000000.0,49.17,64.67,0.0805,1886241.0
AD,Array Digital Infrastructure Inc,Communication Services,Telecom Services,USA,4540000000.0,10.12,52.52,-0.0583,422088.0
ADEA,Adeia Inc,Technology,Software - Application,USA,3510000000.0,29.5,31.84,0.0782,5563247.0
AES,AES Corp,Utilities,Utilities - Diversified,USA,10230000000.0,7.43,14.35,0.0014000000000000002,23283874.0
AEVA,Aeva Technologies Inc,Technology,Software - Infrastructure,USA,977580000.0,,15.53,0.1444,3241484.0
AGL,Agilon Health Inc,Healthcare,Medical Care Facilities,USA,994520000.0,,59.61,0.0992,703912.0
AIP,Arteris Inc,Technology,Semiconductors,USA,1530000000.0,,33.13,0.039900000000000005,991178.0
AIS,VistaShares Artificial Intelligence Supercycle ETF,Financial,Exchange Traded Fund,USA,,,70.93,0.048600000000000004,679602.0
AKAM,Akamai Technologies Inc,Technology,Software - Infrastructure,USA,22530000000.0,51.54,153.01,0.0359,9860864.0
ALGM,Allegro Microsystems Inc,Technology,Semiconductors,USA,8970000000.0,,48.39,-0.011399999999999999,3444556.0
ALMU,Aeluma Inc,Technology,Semiconductors,USA,507320000.0,,28.18,0.15439999999999998,2051162.0
AMLX,Amylyx Pharmaceuticals Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,1650000000.0,,14.88,0.0102,1722733.0
AMN,AMN Healthcare Services Inc,Healthcare,Medical Care Facilities,USA,1170000000.0,,30.27,0.0449,3478606.0
APLS,Apellis Pharmaceuticals Inc,Healthcare,Biotechnology,USA,5250000000.0,41.0,41.02,-0.0002,7537058.0
ARKX,ARK Space & Defense Innovation ETF,Financial,Exchange Traded Fund,USA,,,34.9,0.0163,1551629.0
ARMG,Leverage Shares 2X Long ARM Daily ETF,Financial,Exchange Traded Fund,USA,,,17.37,-0.005699999999999999,2556624.0
ARMK,Aramark,Industrials,Specialty Business Services,USA,11710000000.0,37.47,44.56,-0.0115,5828327.0
ARTV,Artiva Biotherapeutics Inc,Healthcare,Biotechnology,USA,261990000.0,,10.6,-0.026600000000000002,863648.0
ASTS,AST SpaceMobile Inc,Technology,Communication Equipment,USA,32040000000.0,,82.55,0.0999,36018136.0
ASYS,Amtech Systems Inc,Technology,Semiconductor Equipment & Materials,USA,328840000.0,135.81,22.68,0.0554,617094.0
AUR,Aurora Innovation Inc,Consumer Cyclical,Auto Parts,USA,14240000000.0,,7.26,0.0254,31464431.0
AVDE,Avantis International Equity ETF,Financial,Exchange Traded Fund,USA,,,91.27,0.0015,2056451.0
AVTX,Avalo Therapeutics Inc,Healthcare,Biotechnology,USA,540970000.0,,20.25,-0.061200000000000004,2848789.0
BAI,iShares A.I. Innovation and Tech Active ETF,Financial,Exchange Traded Fund,USA,,,48.36,0.0294,4211950.0
BAND,Bandwidth Inc,Technology,Software - Infrastructure,USA,1600000000.0,,49.95,0.0012,1323542.0
BATRK,Atlanta Braves Holdings Inc,Communication Services,Entertainment,USA,3220000000.0,,50.22,-0.0089,541260.0
BKSY,BlackSky Technology Inc,Industrials,Specialty Business Services,USA,1540000000.0,,41.38,0.0489,4538759.0
BLBD,Blue Bird Corp,Industrials,Farm & Heavy Construction Machinery,USA,2230000000.0,17.26,70.36,-0.009300000000000001,609321.0
BW,Babcock & Wilcox Enterprises Inc,Industrials,Specialty Industrial Machinery,USA,2570000000.0,,18.91,0.3006,9165219.0
BWA,BorgWarner Inc,Consumer Cyclical,Auto Parts,USA,12950000000.0,38.21,63.15,0.0298,4754574.0
CADL,Candel Therapeutics Inc,Healthcare,Biotechnology,USA,648230000.0,,8.85,0.0599,3888093.0
CARE,Carter Bankshares Inc,Financial,Banks - Regional,USA,590440000.0,5.46,26.57,0.0095,489270.0
CBIO,Crescent Biopharma Inc,Healthcare,Biotechnology,USA,510630000.0,,18.52,-0.0128,549550.0
CBOE,Cboe Global Markets Inc,Financial,Financial Data & Stock Exchanges,USA,36680000000.0,29.92,350.48,0.0055000000000000005,1476798.0
CEVA,Ceva Inc,Technology,Semiconductors,USA,1020000000.0,,36.46,-0.0138,1977471.0
CFR,Cullen Frost Bankers Inc,Financial,Banks - Regional,USA,8520000000.0,13.21,135.65,-0.023,896291.0
CHAT,Roundhill Generative AI & Technology ETF,Financial,Exchange Traded Fund,USA,,,86.84,0.0077,753077.0
CLBK,Columbia Financial Inc,Financial,Banks - Regional,USA,2020000000.0,35.33,19.44,-0.0036,431186.0
CLDT,Chatham Lodging Trust,Real Estate,REIT - Hotel & Motel,USA,461210000.0,637.42,9.88,-0.004,877668.0
CLOA,iShares AAA CLO Active ETF,Financial,Exchange Traded Fund,USA,,,51.88,0.0001,1168497.0
CLYM,Climb Bio Inc,Healthcare,Biotechnology,USA,636730000.0,,11.12,-0.022000000000000002,1248451.0
CMP,Compass Minerals International Inc,Basic Materials,Other Industrial Metals & Mining,USA,1230000000.0,194.29,29.26,0.047599999999999996,1592220.0
COKE,Coca-Cola Consolidated Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,11350000000.0,24.89,170.48,-0.022000000000000002,888469.0
COPX,Global X Copper Miners ETF,Financial,Exchange Traded Fund,USA,,,87.59,0.018799999999999997,6539541.0
CPER,United States Commodity Index Funds Trust,Financial,Exchange Traded Fund,USA,,,39.39,0.029300000000000003,1581160.0
CPRX,Catalyst Pharmaceuticals Inc,Healthcare,Biotechnology,USA,3810000000.0,18.49,31.15,0.0,3679905.0
CRC,California Resources Corp,Energy,Oil & Gas E&P,USA,5300000000.0,,59.68,0.0129,1846903.0
CSHI,NEOS Enhanced Income 1-3 Month T-Bill ETF,Financial,Exchange Traded Fund,USA,,,49.92,0.0,678172.0
CTS,CTS Corp,Technology,Electronic Components,USA,1760000000.0,26.19,61.49,-0.0042,356564.0
CXDO,Crexendo Inc,Communication Services,Telecom Services,USA,306980000.0,66.74,9.47,0.0118,548304.0
CYTK,Cytokinetics Inc,Healthcare,Biotechnology,USA,9280000000.0,,74.56,-0.030600000000000002,5316234.0
DBC,Invesco DB Commodity Index Tracking Fund,Financial,Exchange Traded Fund,USA,,,31.06,0.025099999999999997,3213229.0
DCOM,Dime Community Bancshares Inc,Financial,Banks - Regional,USA,1620000000.0,13.88,36.67,-0.0148,541272.0
DCTH,Delcath Systems Inc,Healthcare,Medical Devices,USA,381810000.0,1843.33,11.06,-0.0366,667655.0
DFAR,Dimensional US Real Estate ETF,Financial,Exchange Traded Fund,USA,,,25.97,-0.0004,3575785.0
DGII,Digi International Inc,Technology,Communication Equipment,USA,2370000000.0,55.33,62.8,-0.0453,518156.0
DGXX,Digi Power X Inc,Utilities,Utilities - Independent Power Producers,USA,546030000.0,,7.43,0.1207,37887409.0
DLX,Deluxe Corp,Industrials,Conglomerates,USA,1180000000.0,11.38,25.8,-0.029300000000000003,677583.0
DPST,Direxion Daily Regional Banks Bull 3X ETF,Financial,Exchange Traded Fund,USA,,,110.67,-0.053399999999999996,870766.0
DSGN,Design Therapeutics Inc,Healthcare,Biotechnology,USA,974960000.0,,15.61,0.0977,593309.0
DTCR,Global X Data Center & Digital Infrastructure ETF,Financial,Exchange Traded Fund,USA,,,30.87,0.0148,1444262.0
DXYZ,Destiny Tech100 Inc,Financial,Asset Management,USA,1030000000.0,20.12,71.24,0.3048,12546456.0
EPOL,iShares MSCI Poland ETF,Financial,Exchange Traded Fund,USA,,,39.71,0.0174,1113475.0
EVC,Entravision Communications Corp,Communication Services,Advertising Agencies,USA,816390000.0,,8.87,0.23879999999999998,7116745.0
EWJV,iShares MSCI Japan Value ETF,Financial,Exchange Traded Fund,USA,,,44.48,0.0059,642575.0
EWL,iShares MSCI Switzerland ETF,Financial,Exchange Traded Fund,USA,,,61.52,-0.0045000000000000005,1624596.0
EWQ,iShares MSCI France ETF,Financial,Exchange Traded Fund,USA,,,45.49,-0.0059,1914308.0
EWS,iShares MSCI Singapore ETF,Financial,Exchange Traded Fund,USA,,,28.91,0.0007000000000000001,2633011.0
EWZS,iShares MSCI Brazil Small-Cap ETF,Financial,Exchange Traded Fund,USA,,,14.79,-0.027000000000000003,3880816.0
FBRX,Forte Biosciences Inc,Healthcare,Biotechnology,USA,509490000.0,,26.0,0.0824,423768.0
FCEL,Fuelcell Energy Inc,Industrials,Electrical Equipment & Parts,USA,844470000.0,,15.94,0.1635,12866527.0
FIGS,Figs Inc,Consumer Cyclical,Apparel Manufacturing,USA,1990000000.0,54.55,11.94,0.026699999999999998,6458084.0
FLEX,Flex Ltd,Technology,Electronic Components,USA,53340000000.0,62.22,145.07,0.0204,8721921.0
FLKR,Franklin FTSE South Korea ETF,Financial,Exchange Traded Fund,USA,,,62.53,0.0172,953140.0
FNKO,Funko Inc,Consumer Cyclical,Leisure,USA,304240000.0,,5.44,0.0342,1879832.0
FORM,FormFactor Inc,Technology,Semiconductor Equipment & Materials,USA,11800000000.0,174.08,151.4,0.0239,3787634.0
