trade_id,symbol,sector,bullet,entry_date,exit_date,entry_price,exit_price,stop_loss,target,shares,pnl,r_multiple,exit_reason,score
1,TENX,HEALTHCARE,A,2026-04-01,2026-04-02,14.010000228881836,14.84,13.845000267028809,14.835000038146973,13.878791,11.45,5.0,TARGET,75.0
2,FORM,TECH,B,2026-04-01,2026-04-06,93.63999938964844,105.39,91.29000091552734,105.3899917602539,0.974469,11.45,5.0,TARGET,41.3
3,BAI,FINANCIALS,A,2026-04-08,2026-04-09,34.220001220703125,36.57,33.75,36.57000732421875,5.359561,12.6,5.0,TARGET,84.2
4,CHAT,FINANCIALS,B,2026-04-08,2026-04-09,63.54999923706055,67.37,62.78499984741211,67.37499618530273,3.292813,12.59,5.0,TARGET,57.1
5,MU,TECH,A,2026-04-10,2026-04-14,407.6099853515625,453.46,398.44000244140625,453.45989990234375,0.302171,13.85,5.0,TARGET,29.5
6,SION,HEALTHCARE,A,2026-04-14,2026-04-15,37.95000076293945,43.15,36.90999984741211,43.15000534057617,2.930757,15.24,5.0,TARGET,70.9
7,SKYT,TECH,C,2026-04-14,2026-04-15,28.5,30.45,28.110000610351562,30.449996948242188,5.871804,11.45,5.0,TARGET,60.8
8,BAND,TECH,A,2026-04-15,2026-04-16,17.1299991607666,18.63,16.829999923706055,18.629995346069336,11.175993,16.76,5.0,TARGET,65.0
9,DLX,INDUSTRIALS,B,2026-04-14,2026-04-17,27.989999771118164,29.44,27.700000762939453,29.43999481201172,9.55486,13.85,5.0,TARGET,65.7
10,GOLF,CONSUMER,D,2026-04-15,2026-04-17,96.93000030517578,102.03,95.91000366210938,102.02998352050781,2.245105,11.45,5.0,TARGET,32.9
11,CLBK,FINANCIALS,C,2026-04-15,2026-04-22,18.030000686645508,18.09,17.84000015258789,18.980003356933594,13.257857,0.8,0.32,TIME_EXIT,41.5
12,DCOM,FINANCIALS,A,2026-04-24,2026-05-01,35.11000061035156,35.89,34.58000183105469,37.75999450683594,6.958635,5.43,1.47,TIME_EXIT,92.0
13,AVTX,HEALTHCARE,B,2026-04-24,2026-05-01,14.5,13.53,14.100000381469727,16.499998092651367,7.619982,-7.39,-2.43,TIME_EXIT,64.8
14,ORN,INDUSTRIALS,D,2026-04-30,2026-05-01,11.75,13.5,11.399999618530273,13.500001907348633,7.197135,12.59,5.0,TARGET,85.0
15,COKE,CONSUMER,C,2026-04-27,2026-05-04,192.16000366210938,203.92,188.97999572753906,208.06004333496094,0.797139,9.37,3.7,TIME_EXIT,46.2
16,ORN,INDUSTRIALS,A,2026-05-01,2026-05-04,12.069999694824219,12.92,11.899999618530273,12.920000076293945,22.333065,18.98,5.0,TARGET,90.0
17,BWA,CONSUMER,A,2026-05-04,2026-05-06,56.20000076293945,59.1,55.619998931884766,59.10000991821289,7.200469,20.88,5.0,TARGET,48.6
18,DSGN,HEALTHCARE,B,2026-05-06,2026-05-07,13.34000015258789,14.09,13.1899995803833,14.09000301361084,19.334342,14.5,5.0,TARGET,75.0
19,FORM,TECH,D,2026-05-06,2026-05-07,138.5,148.8,136.44000244140625,148.79998779296875,1.345099,13.85,5.0,TARGET,55.0
20,AAMI,FINANCIALS,B,2026-05-01,2026-05-08,64.94999694824219,67.2,62.47999954223633,77.29998397827148,1.174156,2.64,0.91,TIME_EXIT,82.0
21,BWA,CONSUMER,C,2026-05-06,2026-05-08,56.689998626708984,60.89,55.849998474121094,60.88999938964844,3.240947,13.61,5.0,TARGET,72.0
22,DSGN,HEALTHCARE,B,2026-05-07,2026-05-08,13.180000305175781,14.33,12.949999809265137,14.330002784729004,13.870312,15.95,5.0,TARGET,85.0
23,NUAI,TECH,D,2026-05-07,2026-05-08,4.309999942779541,4.56,4.260000228881836,4.559998512268066,60.960149,15.24,5.0,TARGET,85.0
24,HLF,CONSUMER,A,2026-05-06,2026-05-11,16.0,14.5,15.710000038146973,17.449999809265137,15.841083,-23.76,-5.17,EOD_FORCE,85.0
25,NRGV,UTILITIES,A,2026-05-07,2026-05-11,3.9700000286102295,4.2,3.75,5.070000171661377,20.881423,4.8,1.05,EOD_FORCE,100.0
26,SUN,ENERGY,B,2026-05-08,2026-05-11,65.93415269907823,67.0,64.8403409260498,71.40321156422033,3.256532,3.47,0.97,EOD_FORCE,85.5
27,CMP,BASIC_MATERIALS,C,2026-05-08,2026-05-11,25.780000686645508,28.48,23.610000610351562,36.630001068115234,1.380016,3.73,1.24,EOD_FORCE,85.0
28,FTK,ENERGY,D,2026-05-08,2026-05-11,16.079999923706055,16.0,15.75,17.729999542236328,10.159969,-0.81,-0.24,EOD_FORCE,56.0
